ZIP CODE,CRASHES
10000,416
10001,15383
10002,15126
10003,9927
10004,2254
10005,1364
10006,1426
10007,4201
10009,5820
10010,7881
10011,10799
10012,7970
10013,14499
10014,5755
10016,16423
10017,9710
10018,11576
10019,15964
10020,706
10021,5957
10022,15497
10023,7234
10024,6075
10025,6842
10026,3991
10027,9104
10028,4540
10029,10956
10030,3777
10031,4960
10032,7207
10033,6581
10034,5189
10035,9977
10036,15700
10037,3474
10038,3430
10039,2428
10040,2793
10041,18
10045,8
10048,34
10055,3
10065,9325
10069,246
10075,3260
10103,11
10105,25
10106,5
10107,5
10110,18
10111,21
10112,23
10115,9
10118,58
10119,238
10120,17
10121,96
10122,3
10123,28
10128,6201
10151,5
10152,5
10153,23
10154,11
10155,16
10158,3
10162,1
10165,57
10166,1
10167,7
10168,132
10169,59
10170,12
10171,5
10172,99
10173,4
10174,9
10176,3
10177,11
10178,11
10179,4
10271,18
10278,65
10279,12
10280,271
10281,102
10282,147
10301,7927
10302,604
10303,550
10304,8177
10305,6915
10306,9950
10307,1256
10308,3114
10309,4115
10310,4622
10312,7370
10314,4540
10451,10185
10452,7701
10453,8455
10454,8572
10455,8138
10456,9021
10457,11225
10458,11111
10459,9398
10460,10408
10461,9784
10462,9357
10463,8134
10464,951
10465,5996
10466,11981
10467,14064
10468,9592
10469,10670
10470,4213
10471,2509
10472,8281
10473,6637
10474,5356
10475,5658
10803,2
11001,613
11004,3130
11005,110
11040,499
11101,18969
11102,4016
11103,5114
11104,3147
11105,3790
11106,5634
11109,102
11201,16800
11203,18362
11204,10275
11205,8175
11206,14239
11207,27653
11208,17154
11209,8338
11210,11539
11211,13643
11212,17009
11213,11978
11214,10382
11215,11590
11216,10105
11217,11799
11218,10161
11219,10991
11220,13789
11221,11211
11222,10000
11223,11483
11224,5642
11225,8525
11226,16953
11228,6242
11229,10469
11230,13744
11231,6048
11232,7276
11233,14892
11234,17816
11235,12332
11236,19264
11237,8455
11238,9178
11239,2269
11241,1
11242,2
11249,5712
11251,3
11354,12097
11355,10723
11356,4163
11357,4275
11358,5980
11359,14
11360,1516
11361,5932
11362,2449
11363,1557
11364,3687
11365,4354
11366,3153
11367,5657
11368,13671
11369,6420
11370,4790
11371,1
11372,11345
11373,12843
11374,5751
11375,8974
11377,12762
11378,8002
11379,5381
11385,17635
11411,4388
11412,6661
11413,10426
11414,4187
11415,2549
11416,4229
11417,6960
11418,6422
11419,8274
11420,10348
11421,5348
11422,8840
11423,5328
11426,2937
11427,3844
11428,3489
11429,4918
11430,262
11432,11322
11433,7187
11434,16235
11435,9608
11436,3411
11691,7562
11692,1934
11693,1865
11694,2100
11695,14
11697,174
